"","rank","title","singer2"
"1","1","그건 아마 우리의 잘못은 아닐 거야","백예린"
"2","2","야간비행 (魔女の花)","백예린"
"3","3","술이 달다 (Feat. 크러쉬)","에픽하이 (EPIK HIGH)"
"4","4","봄 (feat. 산다라박)","박봄"
"5","5","고고베베 (gogobebe)","마마무(Mamamoo)"
"6","6","옥탑방","엔플라잉 (N.Flying)"
"7","7","SHE`S FINE","헤이즈 (Heize)"
"8","8","그때가 좋았어","케이시 (Kassy)"
"9","9","달라달라","ITZY (있지)"
"10","10","그러니까 (Feat. Colde)","헤이즈 (Heize)"
"11","11","멍청이(twit)","화사(Hwa Sa)"
"12","12","이 노래가 클럽에서 나온다면","우디 (Woody)"
"13","13","내가 날 모르는 것처럼 (Feat. 카더가든)","백예린"
"14","14","그러나","10cm"
"15","15","넘쳐흘러","엠씨더맥스"
"16","16","주저하는 연인들을 위해","잔나비"
"17","17","벌써 12시","청하"
"18","18","혼자","거미"
"19","19","여자친구","하은요셉"
"20","20","신청곡 (Feat. SUGA of BTS)","이소라"
"21","21","너도 그냥 날 놓아주면 돼","윤건"
"22","22","띵 (Prod. By 기리보이)","Jvcki Wai, 영비, Osshun Gum, 한요한"
"23","23","눈 (Prod. 기리보이)","강현준 (Lil tachi), 김호진 (HOTCHKISS)"
"24","24","신용재","하은"
"25","25","지켜줄게","백예린"
"26","26","너를 만나","폴킴"
"27","27","모든 날, 모든 순간 (Every day, Every Moment)","폴킴"
"28","28","Dear my blue","백예린"
"29","29","초록빛","폴킴"
"30","30","사계 (하루살이)","엠씨더맥스"
"31","31","Our love is great","백예린"
"32","32","180도","벤"
"33","33","Senorita","(여자)아이들"
"34","34","SOLO","제니 (JENNIE)"
"35","35","내 생에 아름다운","케이윌"
"36","36","YES or YES","TWICE (트와이스)"
"37","37","이별하러 가는 길","임한별"
"38","38","Way Back Home","숀 (SHAUN)"
"39","39","누아르 (Noir)","선미"
"40","40","미운 날 (The day, I hate myself)","닐로 (Nilo)"
"41","41","호불호 (Feat. 기리보이) (Prod. By GRAY)","우원재"
"42","42","7 rings","Ariana Grande"
"43","43","Dispatch (Feat. Simon Dominic)","헤이즈 (Heize)"
"44","44","IDOL","방탄소년단"
"45","45","내가 날 모르는 것처럼 (2019 ver.)","백예린"
"46","46","아낙네","MINO (송민호)"
"47","47","thank u, next","Ariana Grande"
"48","48","별 헤는 밤 (Prod. CODE KUNST)","김민규 (Young Kay), 윤현선 (GIST)"
"49","49","봄날","방탄소년단"
"50","50","Love Shot","EXO"
"51","51","MILLIONS","WINNER"
"52","52","이유","헤이즈 (Heize)"
"53","53","2002","Anne-Marie"
"54","54","고백","양다일"
"55","55","삐삐","아이유"
"56","56","흔한 이별","허각"
"57","57","너는 어땠을까","노을"
"58","58","지나오다","닐로 (Nilo)"
"59","59","시작됐나, 봄","장덕철"
"60","60","Tempo","EXO"
"61","61","FAKE LOVE","방탄소년단"
"62","62","열애중","벤"
"63","63","비","폴킴"
"64","64","Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)","pH-1, Kid Milli, 루피(Loopy)"
"65","65","가을 타나 봐","바이브"
"66","66","노래 제목","NU`EST"
"67","67","문득 그런 생각이 들어 (Feat. nafla)","헤이즈 (Heize)"
"68","68","아름답고도 아프구나","비투비"
"69","69","새벽에","에픽하이 (EPIK HIGH)"
"70","70","숨고 싶어요 (With. 선우정아)","헤이즈 (Heize)"
"71","71","미안해","양다일"
"72","72","Home","세븐틴"
"73","73","flex (Prod. By 기리보이)","기리보이, Kid Milli, NO:EL, 스윙스"
"74","74","하루도 그대를 사랑하지 않은 적이 없었다","임창정"
"75","75","DNA","방탄소년단"
"76","76","뚜두뚜두 (DDU-DU DDU-DU)","BLACKPINK"
"77","77","I`m Fine","방탄소년단"
"78","78","해야 (Sunrise)","여자친구 (GFRIEND)"
"79","79","오랜만이야 (Feat. Zion.T)","로꼬"
"80","80","Answer : Love Myself","방탄소년단"
"81","81","밤편지","아이유"
"82","82","라비앙로즈 (La Vie en Rose)","IZ*ONE (아이즈원)"
"83","83","알았다면","장덕철"
"84","84","Buddy (Feat. DAVII)","헤이즈 (Heize)"
"85","85","너의 나무 (Feat. 주영)","헤이즈 (Heize)"
"86","86","그리워하다","비투비"
"87","87","BIRD","하성운"
"88","88","Dance The Night Away","TWICE (트와이스)"
"89","89","너 없인 안 된다","비투비"
"90","90","Paris In The Rain","Lauv"
"91","91","잊지마요 (Feat. 박지훈)","하성운"
"92","92","Euphoria","방탄소년단"
"93","93","갈매기의 꿈 (Prod. 기리보이, Minit)","권영훈 (TANGTHEAWESOME), 최진호 (BlueWhale)"
"94","94","봄바람","Wanna One (워너원)"
"95","95","전하지 못한 진심 (Feat. Steve Aoki)","방탄소년단"
"96","96","거울 (Prod. GroovyRoom)","양승호 (sokodomo), 오동환 (Untell)"
"97","97","헤어지는 중","펀치 (Punch)"
"98","98","Make it count","첸 (CHEN)"
"99","99","가을 안부","먼데이 키즈 (Monday Kiz)"
"100","100","사랑해서 그래","강민경 (다비치)"
